,计算,通信,,,能耗,
[14],16.23,4768,176.58,3.43,180.02,
[16],23.57,6944,256.44,5,261.44,
[17],20.02,5536,217.82,3.99,221.8,
[18],19.17,5632,208.57,4.06,212.62,
[19],21.72,5024,236.31,3.62,239.93,
[20],22.72,6400,247.19,4.61,251.8,
eALM,14.11,4768,153.52,3.43,156.95,
,,,,,,
[14],[16],[17],[18],[19],[20],eALM
179.98,261.47,221.8,212.67,239.93,251.83,156.9
359.97,522.95,443.61,425.34,479.86,503.67,313.79
539.95,784.42,665.41,638,719.79,755.5,470.69
719.93,1045.9,887.21,850.67,959.72,1007.34,627.58
899.91,1307.37,1109.02,1063.34,1199.65,1259.17,784.48
1079.9,1568.84,1330.82,1276.01,1439.59,1511.01,941.37
1259.88,1830.32,1552.62,1488.68,1679.52,1762.84,1098.27
1439.86,2091.79,1774.43,1701.35,1919.45,2014.67,1255.16
1619.84,2353.27,1996.23,1914.01,2159.38,2266.51,1412.06
1799.83,2614.74,2218.04,2126.68,2399.31,2518.34,1568.95
